fc_var,condition,seed_target,affect_var,n,r,p,tier
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score,82,-0.047321308228952086,0.6729003380092703,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score_log,82,0.00044837863488794705,0.9968101394658593,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGP,130,0.06940621905478737,0.43265500357164566,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN,130,-0.08299314387807323,0.3478596547954712,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN_log,130,-0.08133165984027577,0.3576289662802298,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,PA_score,82,-0.015070339231129756,0.8931018666101785,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score,82,0.18015619409315747,0.10531378765069717,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score_log,82,0.20590902812458806,0.06346755569823344,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGP,130,0.07768103631537097,0.3796864165796755,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN,130,0.034784564812161564,0.6943981325842851,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN_log,130,0.05277375442590611,0.5509630198790161,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,PA_score,82,-0.010392996293177359,0.9261655261248389,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score,82,-0.10417673111331191,0.3516386144984378,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score_log,82,-0.0925649426902591,0.40816853291858246,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGP,130,0.15572367495074851,0.0768631480538202,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN,130,-0.17002532439060736,0.05311686512944939,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN_log,130,-0.15062134799408863,0.08716716991075509,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,PA_score,82,-0.19371649202289953,0.08119281156161885,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score,82,0.3364730757587966,0.00199638853934004,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score_log,82,0.20444543915517077,0.06541328271165964,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGP,130,0.1573651268667305,0.07376512906983536,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN,130,0.008834657290058882,0.9205351368828952,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN_log,130,0.02674608947035781,0.7626054869324005,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,PA_score,82,-0.025317025968008597,0.8213786959564087,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score,82,-0.05592626354360811,0.6177441650165726,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,NA_score_log,82,-0.08523500285027844,0.4464339088052872,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGP,130,-0.029582044418418628,0.7383020216140056,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN,130,-0.077886119545131,0.3784257942367456,sensitivity
l_amyg_safety_vs_threat_pos,pos,l_amyg_safety_vs_threat,C5SPGN_log,130,-0.08127078108904719,0.3579901365650709,sensitivity
r_amyg_safety_vs_threat_pos,pos,r_amyg_safety_vs_threat,PA_score,82,0.12945557272361397,0.24639147456955812,sensitivity
