persistence_var,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_L,NA_score,C5SES,94,10,0.11213948771037875,0.14256724082245537,0.7865726169873098,0.431532094257582,0.40871669938201977,0.07515800272248971,0.037579001361244854,-0.002406178629815441,0.583383878465711,0.024616825814588104,1.5003971635202333,True,lbfgs,primary
neg_persist_crossrun_mean_z_L,NA_score_log,C5SES,94,10,1.3392126221735774,1.0843433366876902,1.235044821010685,0.21681382355427603,2.8798454360945436,0.10320796909815065,0.051603984549075325,-0.02508154284556341,0.44681973989590773,2.0960138819395437e-09,-167.0727457792828,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGP,C5SES,152,10,0.16949947073325006,0.3615947049760008,0.4687554004544945,0.6392444824164601,-0.6383507266797873,0.17800583595593544,0.08900291797796772,-0.005563804673665353,0.4974145024829655,0.019526501418572526,-149.13558810721167,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN,C5SES,152,10,0.04001327831417384,0.24621960904977114,0.16251052655227596,0.8709038394733167,-0.18109947484475616,0.5993256653756326,0.2996628326878163,-0.002467546132640652,0.6575952358078434,1.7650599085060723e-11,-93.86419302188995,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN_log,C5SES,152,10,0.05677951069400365,0.1110001909257563,0.5115262435177363,0.6089826168320365,-0.05145079535884019,0.732260221195824,0.366130110597912,-0.0018927609022911633,0.45184691769005325,1.8956764845190234e-08,18.731854802588487,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_R,PA_score,C5SES,94,10,-0.13152862366995213,0.46315679417471484,-0.2839829304551583,0.7764234618800543,-0.17593952659198994,0.8207227612894249,0.41036138064471245,0.00587347267057837,0.8677701812120794,0.3771192475767743,-99.87319951467245,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score,C5SES,94,10,0.08333939490409328,0.14043853667427308,0.5934225525105475,0.5528983995853216,-0.02384134687538843,0.9225847335997978,0.4612923667998989,-0.005455940208861773,0.6097702004425734,0.027692413506100043,0.17340859278994003,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score_log,C5SES,94,10,1.8722961609327204,0.9938652415456037,1.8838531449404852,0.05958484256915207,2.2501843149624654,0.20526867598950305,0.10263433799475152,-0.12824162265736788,0.09004612940399756,3.024806653762154e-10,-166.67133340063373,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGP,C5SES,152,10,0.0603199277918141,0.3224110271198649,0.18709015113614139,0.8515899500740653,-0.6301555476881394,0.1979664636597419,0.09898323182987095,-0.006602214878750703,0.7659137390557791,0.03351626233135743,-149.87357595670204,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN,C5SES,152,10,0.3567291471633841,0.2172995881063793,1.6416466790022026,0.10066324789055162,0.34780199668416295,0.28992390561300263,0.14496195280650132,-0.025420858007362695,0.08841871744247239,1.7574031618168645e-11,-92.78293281502732,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN_log,C5SES,152,10,0.15078893786376518,0.09804526052627341,1.537952340117021,0.12406026836166358,0.11135895490432789,0.45454532132951697,0.22727266066475849,-0.011019941442830933,0.10184824387092593,3.6067859134569926e-11,19.479375702313973,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,PA_score,C5SES,94,10,0.05019024879604207,0.691616260337479,0.07256950374699314,0.9421486951972262,-1.039964877292714,0.320648112742854,0.160324056371427,-0.005297761517279963,0.8246223638777073,0.36646045768038016,-97.88764560379585,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score,C5SES,94,10,0.21449759056590126,0.2028916756725353,1.0572025188066254,0.2904191705325292,0.3610112822358338,0.2613906189414543,0.13069530947072716,-0.0064659354640479675,0.35764072151545956,0.02824142899018418,1.0187713629442783,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score_log,C5SES,94,10,3.019067618788234,1.4498611154030023,2.0823150484652153,0.03731370225422921,4.859936905754581,0.04650496070474877,0.023252480352374386,-0.08878680268071283,0.07700934521627797,1.885757819114954e-10,-165.41865595554276,True,powell,sensitivity
