fc_var,condition,seed_target,affect_var,n,r,p,tier
r_amyg_safety_vs_threat_neg_vs_neu,neu,r_amyg_safety_vs_threat_neg_vs,C5SPGN_log,148,-0.0003674705928557384,0.9964633341995542,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,PA_score,93,-0.03643818878584475,0.7287717733570559,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,NA_score,93,0.2665553777103574,0.009802810299353155,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,NA_score_log,93,0.1661018404162981,0.11155582028072612,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGP,148,0.08481803524483453,0.3053843339728999,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGN,148,0.05064661669219918,0.5409937428717124,sensitivity
l_amyg_safety_vs_threat_neg_vs_pos,pos,l_amyg_safety_vs_threat_neg_vs,C5SPGN_log,148,0.0527463903649554,0.5243267024985124,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,PA_score,93,-0.16359995599288896,0.11712868662790457,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,NA_score,93,0.24464087047962443,0.01811031767380077,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,NA_score_log,93,0.29021011972864363,0.004774998846124998,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGP,148,0.011118003927797007,0.8933126941111076,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGN,148,0.09214560192584709,0.26533653538656976,sensitivity
r_amyg_safety_vs_threat_neg_vs_pos,pos,r_amyg_safety_vs_threat_neg_vs,C5SPGN_log,148,0.12001579651036007,0.14624250210722692,sensitivity
