fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,82,7,0.774314403748387,0.4734870599157175,1.6353443827719767,0.10197687445350812,0.12111883448141823,-148.65645303618442,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,130,8,-0.18552103223679786,0.16178936162684654,-1.1466825159041447,0.25151285911493737,0.015718409384061178,-123.38189288293239,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,130,8,-0.12745596803584358,0.11580788385327093,-1.1005810985833298,0.27107901562656345,9.738889262627441e-11,-76.2607659902863,True,False,powell,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN_log,130,8,-0.05150956206402625,0.04869432286469992,-1.0578145260824068,0.29014000897243797,3.564892255988458e-12,22.778187347720348,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,PA_score,82,7,-0.21513862666622982,0.22176325007010594,-0.9701274967706242,0.33198294461514855,0.3960609060062482,-85.83949845657378,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score,82,7,0.050970878116389375,0.06316299622643083,0.8069737213488993,0.4196816233234051,0.013389503821741276,16.52550925063167,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score_log,82,7,0.40011779424826643,0.5870237016153002,0.6816041552449605,0.49548928678541615,3.020863193756635e-06,-149.54236265534837,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGP,130,8,-0.09949229472045779,0.19739994230705746,-0.5040137983713115,0.614251680650554,0.03116551309381901,-123.7030386877172,True,False,lbfgs,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN,130,8,-0.20702485713831195,0.13626264154760895,-1.5193075283659412,0.12868510564151125,1.697803250562896e-11,-75.53208516712158,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN_log,130,8,-0.080343848792103,0.059918558409841276,-1.3408842089049158,0.17995804994450748,3.393534419074975e-12,23.33769944459172,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,PA_score,82,7,0.09758456592841085,0.18589097424237425,0.5249559120669035,0.5996138397474848,0.3822868385233425,-86.35246935086587,True,False,lbfgs,sensitivity
